date;open;high;low;close;volume
20131007;000000;154.2500000;154.2500000;154.2500000;154.2500000;0
20131008;000000;154.1500000;154.1500000;154.1500000;154.1500000;0
20131009;000000;154.3500000;154.3500000;154.3500000;154.3500000;0
20131010;000000;154.0000000;154.0000000;154.0000000;154.0000000;0
20131011;000000;153.4500000;153.4500000;153.4000000;153.4000000;0
20131014;000000;153.4500000;153.7000000;153.4500000;153.7000000;0
20131015;000000;153.7500000;153.7500000;153.7500000;153.7500000;0
20131016;000000;153.8500000;153.8500000;153.8000000;153.8000000;0
20131017;000000;153.8500000;153.8500000;153.8500000;153.8500000;0
20131018;000000;153.9500000;153.9500000;153.9000000;153.9000000;0
20131020;000000;153.9000000;153.9000000;153.9000000;153.9000000;0
20131021;000000;153.8000000;153.8000000;153.8000000;153.8000000;0
20131022;000000;153.7500000;153.7500000;153.7500000;153.7500000;0
20131023;000000;153.8500000;153.8500000;153.8500000;153.8500000;0
20131025;000000;153.9000000;153.9000000;153.9000000;153.9000000;0
20131028;000000;154.3500000;154.3500000;154.3500000;154.3500000;0
20131029;000000;154.2000000;154.2200000;154.2000000;154.2200000;0
20131030;000000;154.2000000;154.2000000;154.2000000;154.2000000;0
20131031;000000;154.1500000;154.1500000;154.1500000;154.1500000;0
20131101;000000;154.3500000;154.3500000;154.3500000;154.3500000;0
20131104;000000;154.3500000;154.3500000;154.2500000;154.2800000;0
20131105;000000;153.9500000;153.9500000;153.9500000;153.9500000;0
20131107;000000;153.7000000;153.7000000;153.7000000;153.7000000;0
20131108;000000;153.4000000;153.4000000;153.4000000;153.4000000;0
20131111;000000;153.4000000;153.4000000;153.1500000;153.1500000;0
20131112;000000;153.3500000;153.3500000;153.3000000;153.3500000;0
20131113;000000;153.0200000;153.0200000;153.0200000;153.0200000;0
20131114;000000;153.2500000;153.2500000;153.2500000;153.2500000;0
20131115;000000;153.3000000;153.3500000;153.3000000;153.3500000;0
20131118;000000;153.3500000;153.3500000;153.2500000;153.2500000;0
20131119;000000;153.0500000;153.0500000;153.0000000;153.0000000;0
20131120;000000;152.8500000;152.8500000;152.8500000;152.8500000;0
20131122;000000;152.9000000;152.9000000;152.9000000;152.9000000;0
20131125;000000;152.9000000;152.9000000;152.9000000;152.9000000;0
20131126;000000;153.1000000;153.1000000;153.1000000;153.1000000;0
20131127;000000;153.6000000;153.6000000;153.6000000;153.6000000;0
20131129;000000;154.2000000;154.2000000;154.1500000;154.1500000;0
20131202;000000;154.1500000;154.1800000;154.1500000;154.1800000;0
20131203;000000;154.5000000;154.5000000;154.5000000;154.5000000;0
20131204;000000;154.4500000;154.4500000;154.4500000;154.4500000;0
20131205;000000;154.2000000;154.2000000;154.1900000;154.1900000;0
20131206;000000;154.2000000;154.2000000;154.2000000;154.2000000;0
20131208;000000;154.2000000;154.2000000;154.2000000;154.2000000;0
20131209;000000;154.3000000;154.3000000;154.3000000;154.3000000;0
20131210;000000;154.4500000;154.4500000;154.4500000;154.4500000;0
20131212;000000;154.1500000;154.1500000;154.1500000;154.1500000;0
20131213;000000;154.1500000;154.1500000;154.0000000;154.0000000;78
20131214;000000;154.0000000;154.0000000;154.0000000;154.0000000;11
20131215;000000;154.0000000;154.0000000;154.0000000;154.0000000;0
20131216;000000;154.0000000;154.0000000;154.0000000;154.0000000;94
20131217;000000;154.0000000;154.0000000;154.0000000;154.0000000;125
20131218;000000;154.0000000;154.0500000;154.0000000;154.0500000;139
20131219;000000;154.0500000;154.0500000;153.8000000;153.8000000;111
20131220;000000;153.8000000;153.8000000;153.6000000;153.6000000;79
20131221;000000;153.6000000;153.6000000;153.6000000;153.6000000;27
20131223;000000;153.6000000;154.0500000;153.6000000;154.0500000;108
20131224;000000;154.0500000;154.0500000;153.9000000;153.9000000;91
20131225;000000;153.9000000;153.9000000;153.9000000;153.9000000;37
20131226;000000;153.9000000;153.9000000;153.8500000;153.8500000;67
